model,accuracy,precision,recall,f1_score
DistilBERT,0.9979212680265038,0.9966394623139703,0.9995185363505056,0.9980769230769231
SVM,0.987007925165649,0.9838634237605238,0.9926852288815479,0.9882546394174301
XGBoost,0.9858386384305574,0.9822471385190376,0.9922133081642284,0.987205071017725
Logistic Regression,0.9835000649603741,0.9788027020731423,0.9915054270882492,0.9851131168678936
